region,sc_duringchoice_amp_loc,sc_duringchoice_slope_last,sc_duringchoice_amp_slope,sc_duringchoice_slope_last_n,sc_duringchoice_move_shape,sc_duringchoice,sc_duringchoice_move_init,sc_duringchoice_integrator,sc_duringchoice_regtype,sc_duringstim_amp_slope,sc_duringstim,sc_duringstim0,sc_duringstim_move_init,sc_duringstim_integrator,sc_duringstim_regtype,sc_stim_regtype,amp_stim_s,amp_choice_s,amp_stim_se,amp_stim_se1,sigma_stim_s,sigma_stim_s_prime,stim_processor,stim_processor_loose,has_stim,has_choice,mixed_stim_choice,duringstim_label,duringchoice_label
SPVI,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
x,False,True,False,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SPIV,False,True,True,True,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,1.666375477339729,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
SUV,True,True,True,True,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,3.7172974167603714,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
ICB,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
IP,True,True,True,True,1.0,0.7660470359588624,1,0,1.0,True,0.6275455435019346,0.6876806898261771,1,0,1.0,0.1,1.518703127578572,3.3439585078269696,0.0,0.4659691587300565,0.31231931017382286,0.3724544564980653,False,False,True,True,True,move,move
CENT3,False,True,True,False,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,3.1925976861188357,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
PO,True,False,True,True,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.10992891404296301,,1.0,False,True,True,False,False,stim_early,
LP,True,False,True,True,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.3238400447225708,,1.0,False,True,True,False,False,stim_early,
CA3,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
DG,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
CA1,True,False,True,True,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.16307757136655754,,1.0,False,True,True,False,False,stim_early,
VISa,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
COAp,False,True,True,False,1.0,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
BMA,False,False,False,False,,,0,0,,False,0.47103599974387106,0.47103599974387106,0,0,,,2.4071445376357707,2.143532893097153,0.0,0.0,0.528964000256129,0.528964000256129,False,False,True,True,True,,
ACB,False,False,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
